"Mobiliteitstrend; per rit, vervoerwijzen, reismotief, leeftijd en geslacht"
"Geslacht: Totaal mannen en vrouwen"
"Marges: Waarde"
"";"";""
"";"";"Vervoerwijzen";"Totaal";"Totaal";"Totaal";"Auto (bestuurder)";"Auto (bestuurder)";"Auto (bestuurder)";"Auto (passagier)";"Auto (passagier)";"Auto (passagier)";"Trein";"Trein";"Trein";"Bus/tram/metro";"Bus/tram/metro";"Bus/tram/metro";"Fiets";"Fiets";"Fiets";"Lopen";"Lopen";"Lopen";"Overige vervoerwijze";"Overige vervoerwijze";"Overige vervoerwijze"
"";"";"Onderwerp";"Ritten per persoon per dag (gemiddeld)";"Afgelegde afstand per rit (gemiddeld)";"Reisduur per rit";"Ritten per persoon per dag (gemiddeld)";"Afgelegde afstand per rit (gemiddeld)";"Reisduur per rit";"Ritten per persoon per dag (gemiddeld)";"Afgelegde afstand per rit (gemiddeld)";"Reisduur per rit";"Ritten per persoon per dag (gemiddeld)";"Afgelegde afstand per rit (gemiddeld)";"Reisduur per rit";"Ritten per persoon per dag (gemiddeld)";"Afgelegde afstand per rit (gemiddeld)";"Reisduur per rit";"Ritten per persoon per dag (gemiddeld)";"Afgelegde afstand per rit (gemiddeld)";"Reisduur per rit";"Ritten per persoon per dag (gemiddeld)";"Afgelegde afstand per rit (gemiddeld)";"Reisduur per rit";"Ritten per persoon per dag (gemiddeld)";"Afgelegde afstand per rit (gemiddeld)";"Reisduur per rit"
"Perioden";"Leeftijd";"Reismotieven";"aantal";"km";"Minuten";"aantal";"km";"Minuten";"aantal";"km";"Minuten";"aantal";"km";"Minuten";"aantal";"km";"Minuten";"aantal";"km";"Minuten";"aantal";"km";"Minuten";"aantal";"km";"Minuten"
"2015*";"Totaal";"Totaal";"3,03";"11,36";"24,14";"0,95";"18,04";"24,84";"0,34";"19,70";"27,62";"0,08";"48,27";"49,46";"0,12";"9,14";"26,43";"0,84";"3,58";"19,98";"0,60";"1,48";"21,69";"0,10";"18,21";"32,82"
"2016*";"Totaal";"Totaal";"2,99";"11,34";"24,10";"0,93";"18,12";"24,92";"0,34";"19,49";"27,58";"0,08";"48,52";"49,57";"0,12";"9,02";"26,31";"0,82";"3,58";"19,92";"0,59";"1,45";"21,50";"0,10";"17,03";"32,21"
"2017*";"Totaal";"Totaal";"2,95";"11,50";"24,12";"0,93";"18,30";"24,98";"0,33";"19,63";"27,50";"0,08";"48,17";"49,25";"0,12";"8,87";"26,15";"0,81";"3,61";"19,94";"0,58";"1,47";"21,50";"0,10";"17,49";"31,90"
"2018*";"Totaal";"Totaal";"3,04";"11,55";"24,15";"0,95";"18,58";"25,05";"0,33";"19,96";"27,55";"0,08";"48,11";"49,39";"0,12";"8,62";"26,13";"0,85";"3,65";"20,09";"0,60";"1,49";"21,35";"0,10";"18,22";"32,72"
"2019*";"Totaal";"Totaal";"2,97";"11,64";"24,18";"0,94";"18,59";"25,00";"0,32";"20,12";"27,57";"0,08";"48,21";"49,51";"0,12";"8,53";"26,06";"0,82";"3,67";"20,21";"0,58";"1,49";"21,31";"0,10";"17,84";"31,94"
"2020*";"Totaal";"Totaal";"2,48";"9,67";"24,46";"0,79";"16,03";"22,53";"0,25";"17,32";"25,84";"0,04";"46,06";"48,31";"0,06";"8,14";"25,79";"0,65";"3,95";"22,34";"0,61";"1,84";"26,45";"0,08";"13,59";"29,87"
"2021*";"Totaal";"Totaal";"2,62";"10,00";"26,03";"0,81";"16,78";"23,57";"0,27";"19,09";"28,00";"0,04";"46,46";"49,65";"0,06";"8,72";"28,13";"0,67";"3,99";"22,86";"0,69";"1,99";"28,89";"0,09";"14,17";"32,39"
"2022*";"Totaal";"Totaal";"2,86";"10,22";"24,88";"0,86";"17,22";"24,11";"0,29";"19,01";"27,72";"0,05";"47,40";"50,24";"0,08";"8,70";"27,65";"0,78";"3,82";"21,42";"0,70";"1,73";"25,43";"0,09";"15,45";"30,64"
"2023*";"Totaal";"Totaal";"2,93";"10,59";"24,63";"0,90";"17,46";"24,36";"0,31";"19,27";"27,52";"0,07";"47,89";"50,51";"0,10";"8,48";"27,24";"0,78";"3,75";"20,82";"0,69";"1,65";"24,45";"0,09";"15,09";"30,05"
"Bron: CBS"
